Symbol,Company,Industry
FBR,Fibria Celulose SA (ADR),Paper & Forest Products
FCX,Freeport-McMoRan Inc,Metals & Mining
FEXXF,FJORDLAND EXPLORATION INC,Metals & Mining
FF,FutureFuel Corp.,Chemicals
FFHL,"Fuwei Films (Holdings) Co., Ltd",Chemicals
FGOVF,Freegold Ventures Ltd (ADR),Metals & Mining
FIBCF,FIRST BAUXITE CORP COM,Metals & Mining
FLDPF,FRONTLINE GOLD CORP,Metals & Mining
FLMTF,FULL METAL MINERALS LTD,Metals & Mining
FLMZF,AFTERMATH SILVER LTD,Metals & Mining
FLPC,First Liberty Power Corp,Metals & Mining
FMC,FMC Corp,Chemicals
FMCXF,FORAN MINING CORP,Metals & Mining
FMXVF,TOLIMA GOLD INC,Metals & Mining
FNV,FRANCO-NEVADA CORP,Metals & Mining
FOE,Ferro Corporation,Chemicals
FPOCF,FPX NICKEL CORP,Metals & Mining
FPRGF,FALCO RESOURCES LTD,Metals & Mining
FRCEF,FLETCHER BUILDING LTD,Construction Materials
FRD,Friedman Industries,Metals & Mining
FRMA,Firma Holdings Corp,Metals & Mining
FRTA,Forterra Inc,Construction Materials
FSI,"Flexible Solutions International, Inc.",Chemicals
FSM,FORTUNA SILVER MINES INC,Metals & Mining
FTK,Flotek Industries Inc,Chemicals
FTMNF,LUNDIN GOLD INC,Metals & Mining
FUL,HB Fuller Co,Chemicals
GARWF,GOLDEN ARROW RESOURCES CORP,Metals & Mining
GAYMF,GALWAY METALS INC,Metals & Mining
GBGD,Global Gold Corp,Metals & Mining
GCCFF,GOLDEN CARIBOO RESOURCES LTD,Metals & Mining
GCFFF,GOLDCLIFF RESOURCE CORP,Metals & Mining
GCP,GCP Applied Technologies Inc,Chemicals
GCRIF,ROGUE RESOURCES INC,Metals & Mining
GDLLF,GEODRILL LTD,Metals & Mining
GDMRF,GOLDEN DAWN MINERALS INC,Metals & Mining
GDPEF,RESOURCE CAP GOLD CORP,Metals & Mining
GDRZF,Gold Reserve Inc.,Metals & Mining
GDXRF,GOLDEX RESOURCES CORP,Metals & Mining
