Symbol,Company,Industry
LXP-C,Lexington Realty Trust,Equity Real Estate Investment Trusts (REITs)
MAA,Mid-America Apartment Communities Inc,Equity Real Estate Investment Trusts (REITs)
MAA-I,Mid-America Apartment Communities Inc,Equity Real Estate Investment Trusts (REITs)
MAC,Macerich Co,Equity Real Estate Investment Trusts (REITs)
MAYS,J.W. Mays Inc,Real Estate Management & Development
MCAP,Mango Capital Inc,Real Estate Management & Development
MDPCF,MADISON PACIFIC PPTYS INC,Real Estate Management & Development
MEQYF,MAINSTREET EQUITY CORP,Real Estate Management & Development
MGP,MGM Growth Properties LLC,Equity Real Estate Investment Trusts (REITs)
MGRUF,MORGUARD REAL ESTATE INVT TR,Equity Real Estate Investment Trusts (REITs)
MLLS,"Miller Industries, Inc.",Real Estate Management & Development
MLP,Maui Land & Pineapple Co.,Real Estate Management & Development
MMI,Marcus & Millichap Inc,Real Estate Management & Development
MNR,Monmouth R.E. Inv. Corp.,Equity Real Estate Investment Trusts (REITs)
MNR-A,Monmouth Real Estate Investment Corp,Equity Real Estate Investment Trusts (REITs)
MNR-C,Monmouth Real Estate Investment Corp,Equity Real Estate Investment Trusts (REITs)
MODVF,MELCOR DEVELOPMENT LTD,Real Estate Management & Development
MPW,"Medical Properties Trust, Inc.",Equity Real Estate Investment Trusts (REITs)
MRCBF,MORGUARD CORP,Real Estate Management & Development
MRT,MedEquities Realty Trust Inc,Equity Real Estate Investment Trusts (REITs)
MRTI,"Maxus Realty Trust, Inc.",Equity Real Estate Investment Trusts (REITs)
NEN,New England Realty Associates LP,Real Estate Management & Development
NHI,National Health Investors Inc,Equity Real Estate Investment Trusts (REITs)
NNN,"National Retail Properties, Inc.",Equity Real Estate Investment Trusts (REITs)
NRE,Northstar Realty Europe Corp,Equity Real Estate Investment Trusts (REITs)
NSA,National Storage Affiliates Trust,Equity Real Estate Investment Trusts (REITs)
NSA-A,National Storage Affiliates Trust,Equity Real Estate Investment Trusts (REITs)
NTP,Nam Tai Property Inc,Real Estate Management & Development
NWHUF,NORTHWEST HEALTHCARE PPTYS,Equity Real Estate Investment Trusts (REITs)
NXCR,NexCore Healthcare Capital Corp,Real Estate Management & Development
NXRT,NexPoint Residential Trust Inc,Equity Real Estate Investment Trusts (REITs)
NYRT,New York REIT Inc,Equity Real Estate Investment Trusts (REITs)
O,Realty Income Corp,Equity Real Estate Investment Trusts (REITs)
OBAS,OPTIBASE LTD,Real Estate Management & Development
OFC,Corporate Office Properties Trust,Equity Real Estate Investment Trusts (REITs)
OHI,Omega Healthcare Investors Inc,Equity Real Estate Investment Trusts (REITs)
OLP,"One Liberty Properties, Inc.",Equity Real Estate Investment Trusts (REITs)
OMAG,Omagine Inc,Real Estate Management & Development
OUT,Outfront Media Inc,Equity Real Estate Investment Trusts (REITs)
PADR,Asia Pacific Boiler Corp,Real Estate Management & Development
PAZRF,PLAZA RETAIL REIT,Equity Real Estate Investment Trusts (REITs)
PCFO,Pacific Office Properties Trust Inc.,Equity Real Estate Investment Trusts (REITs)
PCH,Potlatchdeltic Corp,Equity Real Estate Investment Trusts (REITs)
PDM,"Piedmont Office Realty Trust, Inc.",Equity Real Estate Investment Trusts (REITs)
PDNLB,Presidential Realty Corporation,Equity Real Estate Investment Trusts (REITs)
PDTRF,PURE INDUSTRIAL REAL ESTATE,Equity Real Estate Investment Trusts (REITs)
PEB,Pebblebrook Hotel Trust,Equity Real Estate Investment Trusts (REITs)
PEB-C,Pebblebrook Hotel Trust,Equity Real Estate Investment Trusts (REITs)
PEB-D,Pebblebrook Hotel Trust,Equity Real Estate Investment Trusts (REITs)
PEI,Pennsylvania R.E.I.T.,Equity Real Estate Investment Trusts (REITs)
PEI-B,Pennsylvania Real Estate Investment Trust,Equity Real Estate Investment Trusts (REITs)
PEI-C,Pennsylvania Real Estate Investment Trust,Equity Real Estate Investment Trusts (REITs)
PEI-D,Pennsylvania Real Estate Investment Trust,Equity Real Estate Investment Trusts (REITs)
PGAI,PGI Inc,Real Estate Management & Development
PGCG,Prime Global Capital Group Inc,Real Estate Management & Development
PGRE,Paramount Group Inc,Equity Real Estate Investment Trusts (REITs)
PGUS,ProGreen US Inc,Real Estate Management & Development
PK,Park Hotels & Resorts Inc,Equity Real Estate Investment Trusts (REITs)
PLD,Prologis Inc,Equity Real Estate Investment Trusts (REITs)
PLFF,Orpheum Property Inc,Real Estate Management & Development
PPRQF,CHOICE PRP REAL ESTATE INV,Equity Real Estate Investment Trusts (REITs)
PRRE,Praetorian Property Inc,Real Estate Management & Development
PSA,Public Storage,Equity Real Estate Investment Trusts (REITs)
PSB,PS Business Parks Inc,Equity Real Estate Investment Trusts (REITs)
